* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.100000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.89822222 0.886 0.896
2 Performance: 0.79800000 0.810 0.766
3 Performance: 0.58766667 0.615 0.569
4 Performance: 0.39022222 0.421 0.345
5 Performance: 0.26900000 0.299 0.236
6 Performance: 0.22022222 0.253 0.195
7 Performance: 0.20744444 0.231 0.166
8 Performance: 0.20233333 0.227 0.155
9 Performance: 0.19522222 0.220 0.155
10 Performance: 0.18933333 0.213 0.149
11 Performance: 0.18277778 0.207 0.141
12 Performance: 0.17577778 0.197 0.137
13 Performance: 0.16900000 0.186 0.134
14 Performance: 0.16555556 0.181 0.133
15 Performance: 0.16244444 0.177 0.133
16 Performance: 0.15922222 0.171 0.127
17 Performance: 0.15477778 0.171 0.125
18 Performance: 0.15200000 0.166 0.126
19 Performance: 0.15022222 0.166 0.125
20 Performance: 0.14722222 0.164 0.121
21 Performance: 0.14511111 0.161 0.117
22 Performance: 0.14388889 0.160 0.119
23 Performance: 0.14422222 0.159 0.118
24 Performance: 0.14300000 0.158 0.114
25 Performance: 0.14244444 0.158 0.114
26 Performance: 0.14200000 0.154 0.114
27 Performance: 0.13833333 0.149 0.112
28 Performance: 0.14066667 0.159 0.117
29 Performance: 0.14211111 0.164 0.117
30 Performance: 0.13633333 0.148 0.112
31 Performance: 0.14344444 0.159 0.117
32 Performance: 0.17800000 0.196 0.134
33 Performance: 0.16933333 0.178 0.136
34 Performance: 0.14233333 0.149 0.113
35 Performance: 0.14322222 0.152 0.110
36 Performance: 0.18433333 0.196 0.138
37 Performance: 0.14600000 0.155 0.114
38 Performance: 0.14311111 0.163 0.110
39 Performance: 0.13422222 0.140 0.103
40 Performance: 0.14744444 0.153 0.113
41 Performance: 0.15566667 0.179 0.128
42 Performance: 0.17488889 0.183 0.137
43 Performance: 0.16533333 0.178 0.123
44 Performance: 0.24288889 0.261 0.189
45 Performance: 0.19011111 0.196 0.139
46 Performance: 0.14866667 0.151 0.111
47 Performance: 0.17533333 0.170 0.115
48 Performance: 0.18077778 0.195 0.148
49 Performance: 0.17466667 0.192 0.134
50 Performance: 0.16811111 0.174 0.114
51 Performance: 0.16433333 0.180 0.124
52 Performance: 0.20411111 0.195 0.140
53 Performance: 0.17366667 0.191 0.108
54 Performance: 0.18422222 0.193 0.145
55 Performance: 0.17522222 0.185 0.143
56 Performance: 0.20855556 0.210 0.170
57 Performance: 0.19188889 0.205 0.160
58 Performance: 0.16155556 0.174 0.132
59 Performance: 0.21666667 0.234 0.169
60 Performance: 0.18044444 0.178 0.133
61 Performance: 0.17066667 0.188 0.141
62 Performance: 0.19966667 0.207 0.145
63 Performance: 0.27466667 0.286 0.244
64 Performance: 0.14555556 0.184 0.119
65 Performance: 0.15744444 0.173 0.122
66 Performance: 0.20000000 0.216 0.169
67 Performance: 0.19333333 0.202 0.153
68 Performance: 0.17377778 0.181 0.150
69 Performance: 0.19044444 0.198 0.138
70 Performance: 0.18777778 0.191 0.132
71 Performance: 0.16355556 0.190 0.130
72 Performance: 0.14966667 0.169 0.117
73 Performance: 0.18377778 0.197 0.143
74 Performance: 0.16833333 0.168 0.137
75 Performance: 0.14833333 0.151 0.119
76 Performance: 0.15022222 0.171 0.113
77 Performance: 0.15411111 0.175 0.120
78 Performance: 0.15866667 0.167 0.119
79 Performance: 0.17333333 0.198 0.129
80 Performance: 0.15266667 0.164 0.108
81 Performance: 0.15766667 0.169 0.106
82 Performance: 0.16533333 0.198 0.115
83 Performance: 0.17877778 0.194 0.119
84 Performance: 0.14155556 0.159 0.094
85 Performance: 0.14222222 0.165 0.094
86 Performance: 0.15544444 0.167 0.104
87 Performance: 0.16700000 0.190 0.123
88 Performance: 0.16733333 0.194 0.127
89 Performance: 0.17955556 0.210 0.135
90 Performance: 0.17811111 0.200 0.127
91 Performance: 0.15322222 0.168 0.123
92 Performance: 0.14888889 0.165 0.120
93 Performance: 0.16400000 0.168 0.122
94 Performance: 0.15077778 0.153 0.122
95 Performance: 0.13377778 0.143 0.106
96 Performance: 0.12566667 0.134 0.093
97 Performance: 0.12911111 0.136 0.090
98 Performance: 0.13022222 0.140 0.096
99 Performance: 0.13255556 0.147 0.093
100 Performance: 0.13055556 0.140 0.093
