* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.010000
Type of network used: HiddenNetwork
Input Nodes: 196, Hidden Nodes: 30, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.89922222 0.902 0.894
2 Performance: 0.89922222 0.902 0.894
3 Performance: 0.89922222 0.902 0.894
4 Performance: 0.89922222 0.902 0.894
5 Performance: 0.89922222 0.902 0.894
6 Performance: 0.90077778 0.895 0.904
7 Performance: 0.90077778 0.895 0.904
8 Performance: 0.90077778 0.895 0.904
9 Performance: 0.90077778 0.895 0.904
10 Performance: 0.90077778 0.895 0.904
11 Performance: 0.90077778 0.895 0.904
12 Performance: 0.90077778 0.895 0.904
13 Performance: 0.90077778 0.895 0.904
14 Performance: 0.89100000 0.886 0.898
15 Performance: 0.76044444 0.779 0.769
16 Performance: 0.72544444 0.731 0.728
17 Performance: 0.71255556 0.718 0.701
18 Performance: 0.70522222 0.712 0.689
19 Performance: 0.69311111 0.700 0.683
20 Performance: 0.67255556 0.679 0.666
21 Performance: 0.64577778 0.657 0.641
22 Performance: 0.61744444 0.637 0.613
23 Performance: 0.58844444 0.610 0.582
24 Performance: 0.56011111 0.576 0.551
25 Performance: 0.53377778 0.551 0.515
26 Performance: 0.51000000 0.527 0.488
27 Performance: 0.48755556 0.516 0.450
28 Performance: 0.47255556 0.505 0.432
29 Performance: 0.45622222 0.487 0.418
30 Performance: 0.44300000 0.478 0.402
31 Performance: 0.42922222 0.468 0.383
32 Performance: 0.41655556 0.458 0.373
33 Performance: 0.40300000 0.452 0.359
34 Performance: 0.39277778 0.431 0.349
35 Performance: 0.37888889 0.417 0.338
36 Performance: 0.36744444 0.399 0.326
37 Performance: 0.35522222 0.387 0.314
38 Performance: 0.34633333 0.372 0.306
39 Performance: 0.33577778 0.360 0.294
40 Performance: 0.32766667 0.349 0.290
41 Performance: 0.31766667 0.346 0.284
42 Performance: 0.31044444 0.334 0.280
43 Performance: 0.30333333 0.327 0.271
44 Performance: 0.29755556 0.322 0.264
45 Performance: 0.29255556 0.310 0.258
46 Performance: 0.28744444 0.307 0.256
47 Performance: 0.28366667 0.301 0.250
48 Performance: 0.27955556 0.291 0.247
49 Performance: 0.27622222 0.286 0.246
50 Performance: 0.27366667 0.282 0.243
51 Performance: 0.27177778 0.278 0.243
52 Performance: 0.26977778 0.282 0.239
53 Performance: 0.26944444 0.284 0.235
54 Performance: 0.27011111 0.283 0.230
55 Performance: 0.27200000 0.280 0.228
56 Performance: 0.27255556 0.284 0.228
57 Performance: 0.27355556 0.285 0.231
58 Performance: 0.27500000 0.287 0.233
59 Performance: 0.27755556 0.288 0.233
60 Performance: 0.27977778 0.290 0.235
61 Performance: 0.28366667 0.292 0.239
62 Performance: 0.28755556 0.296 0.241
63 Performance: 0.29133333 0.299 0.242
64 Performance: 0.29566667 0.300 0.243
65 Performance: 0.30188889 0.300 0.249
66 Performance: 0.30655556 0.306 0.253
67 Performance: 0.31333333 0.309 0.255
68 Performance: 0.31644444 0.317 0.259
69 Performance: 0.32088889 0.323 0.263
70 Performance: 0.32477778 0.332 0.265
71 Performance: 0.33022222 0.338 0.267
72 Performance: 0.33322222 0.345 0.269
73 Performance: 0.33700000 0.349 0.268
74 Performance: 0.33944444 0.351 0.272
75 Performance: 0.34155556 0.357 0.278
76 Performance: 0.34377778 0.358 0.278
77 Performance: 0.34844444 0.368 0.278
78 Performance: 0.36022222 0.378 0.290
79 Performance: 0.38722222 0.400 0.318
80 Performance: 0.40111111 0.416 0.324
81 Performance: 0.40588889 0.419 0.327
82 Performance: 0.40800000 0.424 0.331
83 Performance: 0.40800000 0.423 0.325
84 Performance: 0.41000000 0.421 0.324
85 Performance: 0.40966667 0.430 0.323
86 Performance: 0.40933333 0.437 0.325
87 Performance: 0.40788889 0.436 0.331
88 Performance: 0.40977778 0.434 0.336
89 Performance: 0.40955556 0.435 0.333
90 Performance: 0.40900000 0.437 0.333
91 Performance: 0.41077778 0.434 0.340
92 Performance: 0.41322222 0.434 0.346
93 Performance: 0.41711111 0.439 0.350
94 Performance: 0.42466667 0.445 0.350
95 Performance: 0.43211111 0.452 0.359
96 Performance: 0.44077778 0.457 0.374
97 Performance: 0.44800000 0.456 0.381
98 Performance: 0.45300000 0.459 0.393
99 Performance: 0.46300000 0.466 0.416
100 Performance: 0.46377778 0.470 0.420
